ID,focus,focus ID,adj idx,det idx,before,before gender,deprel,number,dep tree size,after,focus ID after,after gender
20,madre,2,-1,-1,Tiene 2 madres . ,Fem,obj,Plur,3,Tiene 2 padres . ,2,Masc
43,jefe,5,-1,4,"Entonces , mientras que el jefe de Estado tenía muchos poderes de jure , tenía muy pocos de facto . ",Masc,nsubj,Sing,5,"Entonces , mientras que la jefa de Estado tenía muchos poderes de jure , tenía muy pocos de facto . ",5,Fem
54,niño,18,-1,17,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Masc,obj,Sing,4,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a alguna niña , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",18,Fem
75,primo,52,-1,51,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Masc,obj,Sing,15,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su prima que Alma estaba hay , el cual la busca y la regresa a su casa . ",52,Fem
106,observador,1,2,0,Un observador externo puede tomar directamente las medidas nomotéticas ( ejemplos de éstas medidas pueden ser el peso de un objeto o la cantidad de veces que se presenta un comportamiento particular ) ; ,Masc,nsubj,Sing,4,Una observadora externa puede tomar directamente las medidas nomotéticas ( ejemplos de éstas medidas pueden ser el peso de un objeto o la cantidad de veces que se presenta un comportamiento particular ) ; ,1,Fem
178,padre,20,-1,19,"Nacido en la localidad mexicana de Torreón , se trasladó a los tres años de edad a España con sus padres y creció en un pueblo jornalero de Extremadura , Llerena , en la provincia de Badajoz . ",Masc,obl,Plur,4,"Nacido en la localidad mexicana de Torreón , se trasladó a los tres años de edad a España con sus madres y creció en un pueblo jornalero de Extremadura , Llerena , en la provincia de Badajoz . ",20,Fem
195,autor,30,-1,29,"Ser identificado como el redactor de una sátira presentaba grandes riesgos : por un lado , las leyes sobre difamación tenían una interpretación muy amplia y era difícil para el autor evitar las actuaciones judiciales si se establecía quien era el autor de un texto que parecía criticar a un miembro de la nobleza ; ",Masc,nmod,Sing,4,"Ser identificado como el redactor de una sátira presentaba grandes riesgos : por un lado , las leyes sobre difamación tenían una interpretación muy amplia y era difícil para la autora evitar las actuaciones judiciales si se establecía quien era el autor de un texto que parecía criticar a un miembro de la nobleza ; ",30,Fem
373,trabajador,18,-1,-1,"La justicia social , defendida por la corporación gremial , convirtió a los "" maestros "" en "" trabajadores "" de la educación . ",Masc,obl,Plur,8,"La justicia social , defendida por la corporación gremial , convirtió a los "" maestros "" en "" trabajadoras "" de la educación . ",18,Fem
509,invitado,7,-1,-1,Diego como Roberto y Erik solo como invitado interpretando sus canciones mas representativas . ,Masc,nmod,Sing,9,Diego como Roberto y Erik solo como invitada interpretando sus canciones mas representativas . ,7,Fem
512,camarero,1,-1,0,"Los camareros son "" muy fashion "" pero muy impresentables . ",Masc,nsubj,Plur,3,"Las camareras son "" muy fashion "" pero muy impresentables . ",1,Fem
529,portador,11,-1,10,"El movimiento de empuje de estos pueblos habría empujado a los portadores de la cerámica cordada hacia el sur y posteriormente , hacia el este . ",Masc,obj,Plur,8,"El movimiento de empuje de estos pueblos habría empujado a las portadoras de la cerámica cordada hacia el sur y posteriormente , hacia el este . ",11,Fem
615,músico,8,9,7,"Algunas de sus composiciones son interpretadas por muchos músicos irlandeses , como el grupo Planxty , The Chieftains y The Dubliners , así como por músicos de otros países . ",Masc,obl,Plur,24,"Algunas de sus composiciones son interpretadas por muchas músicas irlandeses , como el grupo Planxty , The Chieftains y The Dubliners , así como por músicos de otros países . ",8,Fem
812,productor,3,-1,2,"Acusa a los productores de alimentos de capitalistas , insensibles , explotadores y especuladores . ",Masc,obj,Plur,6,"Acusa a las productoras de alimentos de capitalistas , insensibles , explotadores y especuladores . ",3,Fem
823,empleado,9,-1,-1,"Asumieron que la mayoría de las visitas eran de empleados más que de ejecutivos y esperaban que la compañía viera el demo como ellos lo veían , un tributo a Chrono Trigger , y no un reemplazo . ",Masc,obl,Plur,3,"Asumieron que la mayoría de las visitas eran de empleadas más que de ejecutivos y esperaban que la compañía viera el demo como ellos lo veían , un tributo a Chrono Trigger , y no un reemplazo . ",9,Fem
